0:0:0:0:0:0:0:1 - - [22/Mar/2021:15:31:20 +0700] "GET /inventory-management/resources/vendors/bootstrap/dist/css/bootstrap.min.css.map HTTP/1.1" 200 542194
0:0:0:0:0:0:0:1 - - [22/Mar/2021:15:31:25 +0700] "GET /inventory-management/resources/vendors/bootstrap/dist/css/bootstrap.min.css.map HTTP/1.1" 200 542194
0:0:0:0:0:0:0:1 - - [22/Mar/2021:15:31:27 +0700] "GET /inventory-management/product-info/edit/9 HTTP/1.1" 200 13429
0:0:0:0:0:0:0:1 - - [22/Mar/2021:15:31:27 +0700] "GET /inventory-management/product-info/edit/images/img.jpg HTTP/1.1" 404 683
0:0:0:0:0:0:0:1 - - [22/Mar/2021:15:31:27 +0700] "GET /inventory-management/resources/vendors/bootstrap/dist/css/bootstrap.min.css.map HTTP/1.1" 200 542194
0:0:0:0:0:0:0:1 - - [22/Mar/2021:15:32:32 +0700] "GET /inventory-management/product-in-stock/list HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [22/Mar/2021:15:32:32 +0700] "GET /inventory-management/product-in-stock/list/1 HTTP/1.1" 200 17102
0:0:0:0:0:0:0:1 - - [22/Mar/2021:15:32:33 +0700] "GET /inventory-management/product-in-stock/list/images/img.jpg HTTP/1.1" 404 683
0:0:0:0:0:0:0:1 - - [22/Mar/2021:15:32:33 +0700] "GET /inventory-management/upload/1615819120865_Huawei-Mate-X.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Mar/2021:15:32:33 +0700] "GET /inventory-management/upload/1615722474347_iphone-12.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Mar/2021:15:32:36 +0700] "GET /inventory-management/user/list HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [22/Mar/2021:15:32:36 +0700] "GET /inventory-management/user/list/1 HTTP/1.1" 200 19850
0:0:0:0:0:0:0:1 - - [22/Mar/2021:15:32:36 +0700] "GET /inventory-management/user/list/images/img.jpg HTTP/1.1" 404 683
0:0:0:0:0:0:0:1 - - [22/Mar/2021:15:32:37 +0700] "GET /inventory-management/user/view/1 HTTP/1.1" 200 12260
0:0:0:0:0:0:0:1 - - [22/Mar/2021:15:32:37 +0700] "GET /inventory-management/user/view/images/img.jpg HTTP/1.1" 404 683
0:0:0:0:0:0:0:1 - - [22/Mar/2021:15:33:39 +0700] "GET /inventory-management/user/view/1 HTTP/1.1" 200 12504
0:0:0:0:0:0:0:1 - - [22/Mar/2021:15:33:40 +0700] "GET /inventory-management/user/view/images/img.jpg HTTP/1.1" 404 683
0:0:0:0:0:0:0:1 - - [22/Mar/2021:15:33:44 +0700] "GET /inventory-management/user/list HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [22/Mar/2021:15:33:44 +0700] "GET /inventory-management/user/list/1 HTTP/1.1" 200 19850
0:0:0:0:0:0:0:1 - - [22/Mar/2021:15:33:44 +0700] "GET /inventory-management/user/list/images/img.jpg HTTP/1.1" 404 683
0:0:0:0:0:0:0:1 - - [22/Mar/2021:15:33:46 +0700] "GET /inventory-management/user/view/3 HTTP/1.1" 200 12512
0:0:0:0:0:0:0:1 - - [22/Mar/2021:15:33:46 +0700] "GET /inventory-management/user/view/images/img.jpg HTTP/1.1" 404 683
0:0:0:0:0:0:0:1 - - [22/Mar/2021:15:34:25 +0700] "GET /inventory-management/role/list HTTP/1.1" 302 -
